Inflation measures,Series Name,Description,Aggregation,Sample country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
,FCPI_EMDE_MED,EMDE FCPI inflation,Median,141,4.90,4.90,6.80,15.25,18.55,14.70,8.90,11.19,9.85,11.05,15.20,12.90,9.00,9.30,9.10,8.30,6.75,8.90,10.35,9.40,11.60,12.70,11.10,10.00,14.50,11.90,8.94,6.97,6.50,3.46,2.20,4.70,3.90,4.50,5.89,5.74,6.15,8.85,14.90,5.38,4.45,6.63,5.10,4.33,3.82,3.62,3.11,3.18,2.56,3.21,4.67,5.36,12.56,
,FCPI_EMDE_AVE,EMDE FCPI inflation,Average,141,6.58,6.55,8.14,14.70,19.97,14.74,9.32,12.39,10.55,11.43,16.29,14.60,11.17,11.15,10.22,9.76,8.24,9.50,10.60,10.01,12.78,13.19,10.17,9.85,15.16,12.84,12.20,8.77,8.39,5.49,4.94,6.52,6.20,7.11,6.46,7.54,7.64,9.32,16.78,6.21,5.49,8.35,6.65,4.88,4.13,4.76,4.81,5.66,4.24,4.09,6.45,6.78,12.60,
,FCPI_EMDE_AVE_GDP,EMDE FCPI inflation,GDP-weighted Average,140,10.27,10.07,11.66,16.99,23.41,14.66,13.16,17.79,10.76,10.40,16.47,20.34,9.46,10.06,10.55,10.59,12.03,13.20,12.42,12.13,11.78,13.71,13.10,12.94,15.34,16.31,13.27,7.15,8.04,5.83,5.21,6.20,6.13,7.94,7.62,5.84,6.08,9.83,15.32,6.14,7.40,10.00,6.99,6.30,5.25,5.20,6.15,2.74,3.67,6.82,9.00,3.58,7.08,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy price index,ENERGY_GLOBAL_MED,Global energy price index inflation,Median,170,2.00,3.38,3.00,4.90,20.95,10.55,10.20,8.40,7.22,13.80,19.70,16.05,11.66,6.60,6.40,7.40,2.70,3.00,4.20,5.40,8.29,11.70,6.55,6.50,6.35,6.20,5.40,5.26,3.10,3.26,6.90,3.93,3.25,4.32,4.09,5.90,6.45,4.39,7.95,2.01,4.12,4.99,3.97,2.74,2.49,1.22,1.43,2.38,3.04,1.65,0.70,4.82,10.77,
(percent),ENERGY_GLOBAL_AVE,Global energy price index inflation,Average,170,4.51,5.00,4.41,7.10,19.94,12.09,11.34,10.66,8.29,15.93,19.98,17.81,11.50,8.23,8.38,8.83,4.10,4.82,5.78,6.26,9.28,11.37,8.39,7.78,7.54,8.69,9.71,8.11,7.12,5.67,8.46,6.54,5.75,5.85,5.52,7.18,8.09,6.39,9.15,2.57,5.22,5.97,5.11,3.42,3.42,2.07,2.38,3.85,4.38,3.18,1.52,6.61,13.63,
,ENERGY_GLOBAL_AVE_GDP,Global energy price index inflation,GDP-weighted Average,167,5.31,6.81,5.99,9.79,20.93,13.71,11.74,10.80,6.93,13.22,16.73,15.68,11.47,7.50,6.21,7.69,-1.21,0.56,2.52,5.36,7.09,7.44,5.88,5.96,4.43,4.74,4.92,4.85,3.36,2.81,4.74,3.92,3.19,3.91,3.21,4.30,4.76,3.74,5.83,1.67,4.31,5.12,3.81,3.40,3.05,1.91,5.67,3.79,8.47,6.87,0.94,11.03,19.65,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ENERGY_AE_MED,Advanced-economy energy price index inflation,Median,34,4.30,5.10,3.10,4.54,20.70,10.63,10.12,10.60,7.57,12.30,19.70,14.06,11.80,5.50,4.46,5.17,0.20,2.85,3.58,4.45,6.38,7.85,4.57,3.66,2.51,3.02,2.85,3.15,1.06,1.80,4.45,2.81,2.24,3.40,3.20,4.93,4.68,3.41,7.08,0.51,3.31,4.90,3.30,1.98,1.37,0.40,-0.09,1.76,2.37,0.86,-0.30,8.91,23.82,
,ENERGY_AE_AVE,Advanced-economy energy price index inflation,Average,34,4.90,5.81,3.82,6.90,21.68,10.84,11.33,11.57,8.27,14.54,20.79,16.96,10.68,8.07,6.74,7.22,1.27,2.86,3.72,5.24,7.01,8.03,5.21,5.41,6.09,6.27,6.37,4.88,2.97,1.96,5.55,3.79,3.20,4.12,3.83,5.85,5.99,4.81,8.98,0.56,4.07,4.98,3.64,1.97,1.23,-0.16,0.13,2.32,3.07,0.94,-0.74,8.46,21.28,
,ENERGY_AE_AVE_GDP,Advanced-economy energy price index inflation,GDP-weighted Average,34,4.53,6.24,5.31,9.23,21.68,13.70,11.81,9.90,7.32,13.49,17.39,15.57,10.03,6.53,4.96,5.87,-2.99,-0.80,1.47,4.21,6.15,6.09,4.16,4.13,3.48,3.06,2.96,2.46,1.58,1.04,3.07,2.71,1.31,2.45,2.11,3.42,3.76,2.67,4.91,0.27,2.02,3.88,2.63,1.93,2.02,0.85,6.75,3.69,11.00,8.69,0.75,14.48,27.23,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
