Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLV,253,El Salvador,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,11.64,23.00,7.02,4.06,1.32,3.99,6.86,4.00,-3.52,-5.27,-0.17,4.26,-4.01,-0.17,4.49,6.55,5.97,8.78,7.00,14.65,-17.56,-0.40,2.27,1.22,0.69,0.50,0.22,-0.02,0.12,0.19,0.07,0.32,2.11,4.88,,"All Items Excluding Food, Bev, Tobacco, Mtg Int, Energy & Admin Pr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMR,135,San Marino,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM,726,Somalia,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRB,942,Serbia,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.10,7.90,6.60,9.60,7.40,11.10,3.50,1.50,2.60,1.50,2.00,1.30,1.30,1.60,,9.97,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVK,936,Slovakia,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,6.60,6.68,7.58,9.00,9.83,7.01,4.02,3.45,3.21,1.82,2.77,2.68,3.86,1.38,0.79,1.36,2.56,0.84,0.28,0.16,0.21,1.49,2.48,1.92,2.16,4.11,9.67,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVN,961,Slovenia,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.27,7.76,7.95,5.84,3.15,1.14,1.58,3.79,4.95,1.54,0.30,0.85,1.72,1.71,0.46,0.45,0.62,1.06,1.20,1.69,0.69,1.08,5.81,,All Items Excluding Volatile Goods and Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,144,Sweden,Inflation,Official Core Consumer Price Inflation,6.71755743,6.91,5.76,6.44,9.05,9.82,9.48,11.23,9.73,6.71,12.47,10.98,7.41,8.63,7.70,6.83,4.84,4.71,6.08,6.28,8.83,10.74,4.25,4.51,2.44,2.69,1.44,0.24,-0.54,0.35,0.34,1.84,1.99,1.09,0.18,0.01,0.75,2.56,2.07,-0.95,0.51,3.01,0.87,-0.24,-0.02,0.02,0.90,1.37,1.09,1.52,1.19,1.30,5.82,,All Items Excluding Volatile Goods and Services ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYR,463,Syrian Arab Republic,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,5.2,-0.2,3.0,3.6,26.4,50.2,31.1,,,,,,,,,,All Items Excluding Food and Energy,Additional country compared to the previous update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCD,628,Chad,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,18.74,14.66,24.22,8.56,11.30,2.01,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,-2.08,6.56,1.24,8.23,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THA,578,Thailand,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,3.72,3.16,3.57,4.08,4.83,4.82,4.40,4.53,4.11,4.17,3.66,4.19,6.93,1.68,1.11,1.76,0.44,-0.27,0.27,1.61,2.40,0.80,0.04,-1.09,0.82,0.55,0.86,0.82,0.64,0.89,0.69,0.33,0.53,0.36,0.07,0.00,0.57,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJK,923,Tajikistan,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.09,7.52,8.68,5.81,5.89,6.03,8.44,5.28,4.60,3.85,7.07,3.34,4.22,3.90,4.14,4.86,,,All Items Excluding Food and Energy,Additional country compared to the previous update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,925,Turkmenistan,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.20,8.23,5.11,4.66,14.41,4.47,6.56,1.68,5.26,8.92,4.97,7.37,,,,,,,,,All Items Excluding Food and Energy,Additional country compared to the previous update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,369,Trinidad and Tobago,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,4.21,2.46,4.46,1.81,0.99,1.28,1.78,1.05,1.20,1.08,0.60,0.39,1.64,2.57,3.63,4.32,6.16,4.15,4.31,1.72,2.48,2.38,1.99,1.84,2.14,1.66,0.98,1.12,0.09,1.52,4.71,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,744,Tunisia,Inflation,Official Core Consumer Price Inflation,0.832109272,3.94,1.26,6.19,33.52,10.42,-1.90,2.38,2.24,7.36,12.90,17.86,8.32,4.29,7.03,7.18,4.03,,,,,,,,,,,,,,,1.61,1.68,1.78,2.23,2.22,2.49,2.32,3.27,3.01,2.85,2.88,4.18,4.57,4.27,4.67,4.38,5.42,7.49,6.91,6.66,5.68,7.14,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,186,Turkey,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,102.38,86.22,80.80,83.52,87.78,71.51,58.00,51.15,43.16,21.85,9.75,8.85,7.36,7.11,6.22,4.40,4.13,5.66,7.21,6.27,9.17,8.04,8.47,10.09,16.46,13.45,11.19,18.28,58.61,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWN,528,"Taiwan, China",Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,2.34,1.95,1.73,1.36,0.65,0.63,2.29,3.96,4.58,4.95,3.28,3.13,3.51,3.46,2.90,1.42,0.83,0.77,1.06,0.27,-0.01,-0.69,0.33,0.15,0.52,1.05,1.28,-0.55,0.50,0.76,0.64,0.36,0.37,0.36,0.56,0.70,0.95,0.30,0.22,1.27,1.78,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,746,Uganda,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.64,11.47,11.05,4.80,17.26,14.70,6.29,3.09,4.21,5.61,4.45,2.42,3.59,3.23,2.77,5.99,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKR,926,Ukraine,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.41,8.59,7.70,3.32,0.23,9.86,40.39,11.00,7.33,9.09,6.77,3.30,6.87,16.01,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URY,298,Uruguay,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.05,8.38,22.12,-18.17,9.09,14.12,-0.48,-2.55,-4.27,-12.82,-10.99,,,,,,,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,111,United States,Inflation,Official Core Consumer Price Inflation,6.245934,4.69,3.06,3.48,8.24,9.22,6.57,6.25,7.31,9.74,12.42,10.47,7.40,3.93,4.94,4.38,4.04,4.12,4.41,4.50,5.03,4.91,3.66,3.30,2.85,2.99,2.70,2.39,2.29,2.08,2.43,2.67,2.32,1.46,1.76,2.17,2.50,2.34,2.30,1.70,0.96,1.66,2.11,1.76,1.75,1.83,2.21,1.84,2.14,2.19,1.70,3.57,6.15,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEN,299,"Venezuela, RB",Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,37.50,78.79,22.03,22.22,14.77,35.64,81.75,51.00,112.77,22.25,15.54,11.59,9.91,7.43,53.79,55.15,29.19,12.61,8.14,13.94,18.97,30.69,28.73,27.90,22.25,43.01,38.23,147.51,385.91,,,,,,,,"All Items Excluding Fruits, Vegetables, Taxed Srv & Fuels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VNM,582,Vietnam,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.78,13.62,8.19,4.77,3.31,2.05,1.83,1.41,1.48,2.01,2.31,0.81,2.61,,"All Items Excluding Housing, Water, Electricity and Gas ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XKX,967,Kosovo,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.54,-4.83,6.33,15.00,0.00,0.16,-0.37,-0.39,-0.74,-2.60,,,,,,,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAF,199,South Africa,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.14,-2.42,1.47,1.84,4.79,6.71,7.39,4.08,3.53,4.56,5.20,5.59,5.47,5.60,4.75,4.26,4.14,3.34,3.12,4.32,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note:  For those countries where annual data are not yet availalbe for 2022, annual averages of monthly or quarterly inflation in 2022 with available data are included instead. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
