Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJI,611,Djibouti,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,-5.95,4.46,3.57,5.75,9.24,4.06,-19.20,-0.79,-0.60,10.50,-7.60,1.67,-8.19,,,,,,,,,,,,,,,,1.98,-2.63,0.19,-0.27,0.13,1.75,-0.30,,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,128,Denmark,Inflation,Official Core Consumer Price Inflation,-5.943670273,5.56,6.36,16.41,14.05,9.63,34.74,10.49,10.61,8.87,10.37,10.19,9.84,8.06,6.48,-1.95,-1.60,-14.04,5.17,4.71,3.38,2.96,2.55,1.76,2.00,1.93,1.80,1.85,1.63,2.48,2.16,2.20,2.52,2.32,1.30,1.38,1.40,1.41,13.46,2.26,1.84,1.81,1.90,1.21,0.87,-19.08,2.05,14.47,0.65,0.76,0.93,1.20,4.03,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOM,243,Dominican Republic,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.76,4.84,23.72,47.11,4.90,5.09,4.58,7.22,5.18,3.46,5.54,3.71,4.88,3.24,2.23,1.68,2.18,2.58,2.14,3.63,5.92,6.99,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGY,469,"Egypt, Arab Rep.",Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.22,7.94,18.94,8.51,7.03,8.28,6.15,9.03,9.21,6.94,13.39,30.64,10.12,5.73,2.33,4.38,14.98,,All Items Excluding unprocessed food and energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,184,Spain,Inflation,Official Core Consumer Price Inflation,,,,,9.33,,14.91,26.41,21.58,19.07,15.55,12.49,14.75,12.30,10.73,9.19,27.86,6.59,6.08,6.84,6.67,-14.97,6.92,5.86,4.41,4.52,11.00,2.60,2.55,2.46,43.94,-22.07,2.84,2.90,35.36,2.48,2.75,44.43,1.04,-3.83,0.57,1.30,24.55,1.08,-0.05,0.52,0.84,1.13,0.93,0.96,0.57,0.57,3.68,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EST,939,Estonia,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.06,5.82,3.89,4.09,2.92,2.41,1.22,1.87,3.31,5.43,6.46,1.87,0.75,2.30,2.20,1.41,1.00,1.42,1.33,2.12,2.30,2.12,0.15,2.78,9.71,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH,644,Ethiopia,Inflation,Official Core Consumer Price Inflation,1.242172241,5.13,2.87,5.21,9.77,5.34,5.49,7.87,11.10,8.51,12.34,9.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIN,172,Finland,Inflation,Official Core Consumer Price Inflation,2.542375088,6.26,6.21,10.50,14.93,17.50,14.37,10.46,8.85,8.33,10.25,10.22,9.01,9.29,7.66,4.94,3.48,4.62,6.50,7.54,6.52,4.77,3.58,2.20,1.54,2.90,0.28,1.09,1.59,1.23,2.56,2.62,1.54,0.61,-0.21,0.19,1.27,2.64,2.55,0.40,1.19,2.04,2.27,0.98,1.46,0.56,0.96,0.66,0.68,0.83,0.50,1.73,4.16,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,132,France,Inflation,Official Core Consumer Price Inflation,-1.114381313,-17.58,5.96,7.07,12.15,-1.84,9.19,8.53,9.36,-15.14,13.14,12.50,11.27,9.47,23.59,5.66,4.15,3.97,3.13,3.19,3.07,3.41,3.16,2.64,1.86,1.91,1.92,1.13,2.13,0.30,0.79,-21.75,1.79,2.10,2.17,1.54,1.29,-11.35,14.63,-11.68,17.02,1.10,1.35,0.87,1.00,0.55,0.42,8.94,1.01,0.74,0.97,0.96,2.77,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,112,United Kingdom,Inflation,Official Core Consumer Price Inflation,-3.41356039,9.11,6.83,8.62,13.83,22.05,15.50,15.50,9.60,13.21,18.23,11.11,8.21,4.42,5.22,6.86,4.53,4.80,5.59,8.30,9.70,5.79,4.11,1.39,2.51,3.33,2.15,1.88,1.44,0.74,0.08,1.07,1.48,1.28,1.07,1.44,1.70,1.90,1.90,1.60,2.00,2.80,2.10,1.90,1.60,1.30,1.60,2.30,1.90,1.70,1.50,2.30,5.34,,All Items Excluding ex Reg Pr & Fuel for Veh & Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
