Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,
COG,634,"Congo, Rep. of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,5.82,-0.36,-1.88,-1.83,0.50,-0.50,-0.97,0.39,-0.50,1.47,,,-0.08,-0.57,,,,,,,,,,,
CRI,238,Costa Rica,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.72,3.88,5.24,6.03,5.50,7.43,6.54,4.18,5.34,2.54,2.82,2.83,2.23,0.82,2.99,0.58,-0.09,1.00,0.95,1.30,,,,,,,,,,,,,
HRV,960,"Croatia, Rep. of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19,1.10,0.74,0.25,-0.39,0.31,-0.75,-0.29,-0.08,-0.55,-0.30,1.08,0.46,-0.04,-0.09,1.69,,,,,,,,,,,
CUW,354,"Curaçao, Kingdom of the Netherlands",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP,423,Cyprus,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,0.68,1.03,2.10,0.12,1.05,0.95,0.43,0.21,-0.22,-0.63,-0.56,-0.25,0.29,-0.55,-0.24,1.15,,,,,,,,,,,
CZE,935,Czech Rep.,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,3.45,2.49,1.58,1.20,1.31,1.71,1.10,0.16,1.40,1.08,1.14,1.53,3.37,0.48,0.94,0.65,1.51,0.44,0.23,0.32,0.75,1.21,1.39,1.40,1.85,3.20,,,,,,,,,,,
CIV,662,Côte d'Ivoire,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42,0.90,2.04,1.58,0.30,0.13,2.05,0.48,1.01,0.36,1.32,0.66,-1.10,1.81,0.88,1.59,0.56,0.38,-0.07,0.26,0.04,-0.28,0.35,0.68,,,,,,,,,,,
DNK,128,Denmark,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,1.72,1.53,0.97,1.31,1.18,0.87,1.97,1.07,1.84,1.90,1.63,0.50,0.49,0.33,0.14,0.67,0.67,0.50,0.32,1.44,5.00,,,,,,,,,,
DJI,611,Djibouti,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12,-1.04,0.72,0.06,0.13,0.51,0.71,,,,,,,,,,,,
DMA,321,Dominica,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,0.06,0.48,-0.38,0.26,0.09,0.51,0.65,-0.52,,,,,,,,,,,,
