Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,
USA,111,United States,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66,1.73,1.18,1.14,-0.17,1.14,1.87,2.16,1.53,0.80,4.20,,,,,,,,,,,
URY,298,Uruguay,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81,1.60,1.40,2.93,2.84,2.93,3.50,3.00,3.80,4.08,4.72,3.24,3.85,4.05,4.29,3.90,,,,,,,,,,,
UZB,927,"Uzbekistan, Rep. of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46,,,,,,,,,,,
VUT,846,Vanuatu,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,0.85,-0.14,1.60,2.46,0.37,0.13,-0.05,1.05,1.27,1.14,0.37,0.05,0.72,0.02,0.15,0.39,1.00,0.45,0.14,0.39,0.95,0.79,,,,,,,,,,,
VEN,299,"Venezuela, Rep. Bolivariana de",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VNM,582,Vietnam,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.59,0.91,1.65,1.17,0.30,2.36,2.50,0.02,1.91,2.44,3.92,1.29,0.68,0.91,2.36,1.17,0.23,-0.89,1.00,1.25,,,,,,,,,,
PSE,488,West Bank and Gaza,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,0.92,-1.24,-0.74,1.37,1.59,0.83,-1.64,0.01,1.05,0.52,1.67,0.54,0.86,0.51,-0.02,0.45,2.74,1.22,-0.64,-0.24,0.68,-0.22,-0.03,,,,,,,,,,,
YEM,474,"Yemen, Rep. of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMB,754,Zambia,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.03,-1.27,0.14,3.60,-2.34,-2.37,0.52,-3.02,-2.69,-0.33,,,,,,,,,,
ZWE,698,Zimbabwe,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.75,0.76,-1.50,-0.43,0.55,-0.44,0.37,0.51,5.30,113.83,273.45,43.63,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Please see Ha, Kose, and Ohnsorge (2021) for technical details about the estimation. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
